"year_f","age","age_f","period","sex","n","mean_yday","sd_yday","mean_fl","sd_fl","se_fl","up","lo"
"1933","42","4[2]","Gilbert-Clemens","male",283,189.69964664311,13.0825895300153,612.501766784452,23.9968045387939,1.42646196541447,615.297632236665,609.70590133224
"1933","52","5[2]","Gilbert-Clemens","female",47,193.851063829787,17.1108644909096,639.425531914894,38.2376690444128,5.57753727006258,650.357504964216,628.493558865571
"1933","52","5[2]","Gilbert-Clemens","male",62,194.822580645161,14.0928120191871,671.887096774194,27.5509095614394,3.49896901327357,678.74507604021,665.029117508177
"1933","53","5[3]","Gilbert-Clemens","female",474,207.215189873418,17.4643127895497,627.130801687764,23.6133356405814,1.08459642699043,629.256610684665,625.004992690862
"1933","53","5[3]","Gilbert-Clemens","male",419,206.503579952267,17.0439022638057,650.162291169451,26.3897437396101,1.2892233463815,652.689168928359,647.635413410543
"1933","63","6[3]","Gilbert-Clemens","female",12,216,9.16515138991168,694.583333333333,17.2650900181069,4.98400218476856,704.35197761548,684.814689051187
"1933","63","6[3]","Gilbert-Clemens","male",37,212.837837837838,14.6884563773989,705.324324324324,22.6936775997854,3.730817615639,712.636726850977,698.011921797672
"1934","42","4[2]","Gilbert-Clemens","female",83,197.024096385542,9.53680406611537,599.132530120482,27.2641867677323,2.99263328478084,604.998091358652,593.266968882311
"1934","42","4[2]","Gilbert-Clemens","male",77,195.38961038961,10.774184355691,618.779220779221,26.1567257007605,2.9808355391553,624.621658435965,612.936783122476
"1934","52","5[2]","Gilbert-Clemens","female",56,192.535714285714,10.9958079379276,642.464285714286,21.6853233029449,2.89782321860875,648.144019222759,636.784552205812
"1934","52","5[2]","Gilbert-Clemens","male",59,189.067796610169,10.2954030699003,667.627118644068,25.6494258220905,3.33927081506138,674.172089441588,661.082147846547
"1934","53","5[3]","Gilbert-Clemens","female",465,196.21935483871,10.9392548647823,631.567741935484,23.257002844575,1.07851768178343,633.681636591779,629.453847279188
"1934","53","5[3]","Gilbert-Clemens","male",459,195.102396514161,10.8162690178678,652.43137254902,23.2172475902416,1.08368831355209,654.555401643582,650.307343454458
"1934","63","6[3]","Gilbert-Clemens","female",20,206.05,7.20726972175353,673.45,30.7014057624317,6.8650430289601,686.905484336762,659.994515663238
"1934","63","6[3]","Gilbert-Clemens","male",27,204.185185185185,8.90564659699347,710.481481481482,27.6786093058415,5.32675084450735,720.921913136716,700.041049826247
"1935","42","4[2]","Gilbert-Clemens","female",99,204.464646464646,15.2049355113512,596.838383838384,22.7437845605537,2.2858363545465,601.318623093295,592.358144583473
"1935","42","4[2]","Gilbert-Clemens","male",64,202.765625,14.0099082710025,618.546875,28.1881038104476,3.52351297630595,625.45296043356,611.64078956644
"1935","52","5[2]","Gilbert-Clemens","female",86,194.604651162791,11.0605595750023,642.976744186047,29.3189265288547,3.16154115495426,649.173364849757,636.780123522336
"1935","52","5[2]","Gilbert-Clemens","male",58,193.896551724138,9.39333405894264,677.810344827586,25.1622502665302,3.30396532522168,684.286116865021,671.334572790152
"1935","53","5[3]","Gilbert-Clemens","female",653,212.68606431853,15.043426054663,636.816232771822,26.0256465043671,1.01846224952444,638.81241878089,634.820046762754
"1935","53","5[3]","Gilbert-Clemens","male",427,207.133489461358,16.1048057374817,658.861826697892,28.7604174951567,1.39181415360071,661.58978243895,656.133870956835
"1935","63","6[3]","Gilbert-Clemens","female",26,206.076923076923,15.2916266680117,685.269230769231,35.7598184473106,7.01307738712969,699.014862448005,671.523599090457
"1935","63","6[3]","Gilbert-Clemens","male",64,204.671875,13.9136277691482,717.359375,28.0381640068143,3.50477050085179,724.228725181669,710.490024818331
"1936","42","4[2]","Gilbert-Clemens","female",133,198.624060150376,11.7535304198223,597.887218045113,21.5085092869671,1.86502428323313,601.54266564025,594.231770449976
"1936","42","4[2]","Gilbert-Clemens","male",97,195.907216494845,9.89221334584556,617.443298969072,28.379852401603,2.88153743030257,623.091112332465,611.795485605679
"1936","52","5[2]","Gilbert-Clemens","female",62,197.258064516129,10.7732751978019,638.709677419355,26.7038322888425,3.39139009207479,645.356801999821,632.062552838888
"1936","52","5[2]","Gilbert-Clemens","male",34,203.852941176471,10.0908970467722,665.294117647059,37.0278596274724,6.35022553696694,677.740559699514,652.847675594604
"1936","53","5[3]","Gilbert-Clemens","female",557,202.113105924596,11.9932440759529,635.850987432675,22.5785054066323,0.956681977701258,637.72608410897,633.975890756381
"1936","53","5[3]","Gilbert-Clemens","male",415,201.163855421687,11.9526903396624,660.573493975904,26.0962316320862,1.2810136285831,663.084280687926,658.062707263881
"1936","63","6[3]","Gilbert-Clemens","female",72,207.513888888889,11.4952446451682,673.513888888889,27.8992114864371,3.28795360530289,679.958277955283,667.069499822495
"1936","63","6[3]","Gilbert-Clemens","male",76,208.276315789474,11.8587224541944,703.434210526316,25.592882097081,2.9357049140823,709.188192157917,697.680228894715
"1937","42","4[2]","Gilbert-Clemens","female",142,202.176056338028,10.1424599361835,578.253521126761,23.3452158051476,1.95908699090931,582.093331628943,574.413710624578
"1937","42","4[2]","Gilbert-Clemens","male",178,201.747191011236,9.88282296740746,590.629213483146,22.9730286576581,1.72190129711248,594.004140025486,587.254286940806
"1937","52","5[2]","Gilbert-Clemens","female",34,206.676470588235,13.5796652527924,609.029411764706,28.0891279454241,4.81724570052713,618.471213337739,599.587610191673
"1937","52","5[2]","Gilbert-Clemens","male",26,205.346153846154,12.432030590993,645.115384615385,36.7318139198999,7.20370138258572,659.234639325253,630.996129905517
